Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,TAVE (F) 
1,60,3,'437054',1894,26 
2,61,3,'437054',1894,36 
3,62,3,'437054',1894,37 
4,63,3,'437054',1894,28 
5,64,3,'437054',1894,32 
6,65,3,'437054',1894,44 
7,66,3,'437054',1894,45 
8,67,3,'437054',1894,37 
9,68,3,'437054',1894,31 
10,69,3,'437054',1894,39 
11,70,3,'437054',1894,39 
12,71,3,'437054',1894,40 
13,72,3,'437054',1894,31 
14,73,3,'437054',1894,37 
15,74,3,'437054',1894,28 
16,75,3,'437054',1894,36 
17,76,3,'437054',1894,35 
18,77,3,'437054',1894,37 
19,78,3,'437054',1894,45 
20,79,3,'437054',1894,39 
21,80,3,'437054',1894,34 
22,81,3,'437054',1894,36 
23,82,3,'437054',1894,33 
24,83,3,'437054',1894,27 
25,84,3,'437054',1894,33 
26,85,3,'437054',1894,20 
27,86,3,'437054',1894,14 
28,87,3,'437054',1894,18 
29,88,3,'437054',1894,29 
30,89,3,'437054',1894,31 
31,90,3,'437054',1894,36 
1,91,4,'437054',1894,38 
2,92,4,'437054',1894,32 
3,93,4,'437054',1894,30 
4,94,4,'437054',1894,33 
5,95,4,'437054',1894,40 
6,96,4,'437054',1894,38 
7,97,4,'437054',1894,31 
8,98,4,'437054',1894,35 
9,99,4,'437054',1894,35 
10,100,4,'437054',1894,39 
11,101,4,'437054',1894,41 
12,102,4,'437054',1894,40 
13,103,4,'437054',1894,45 
14,104,4,'437054',1894,47 
15,105,4,'437054',1894,44 
16,106,4,'437054',1894,44 
17,107,4,'437054',1894,47 
18,108,4,'437054',1894,48 
19,109,4,'437054',1894,55 
20,110,4,'437054',1894,62 
21,111,4,'437054',1894,61 
22,112,4,'437054',1894,51 
23,113,4,'437054',1894,55 
24,114,4,'437054',1894,50 
25,115,4,'437054',1894,44 
26,116,4,'437054',1894,49 
27,117,4,'437054',1894,53 
28,118,4,'437054',1894,55 
29,119,4,'437054',1894,49 
30,120,4,'437054',1894,48 
1,121,5,'437054',1894,64 
2,122,5,'437054',1894,67 
3,123,5,'437054',1894,60 
4,124,5,'437054',1894,61 
5,125,5,'437054',1894,62 
6,126,5,'437054',1894,60 
7,127,5,'437054',1894,61 
8,128,5,'437054',1894,54 
9,129,5,'437054',1894,58 
10,130,5,'437054',1894,52 
11,131,5,'437054',1894,56 
12,132,5,'437054',1894,54 
13,133,5,'437054',1894,55 
14,134,5,'437054',1894,44 
15,135,5,'437054',1894,42 
16,136,5,'437054',1894,48 
17,137,5,'437054',1894,53 
18,138,5,'437054',1894,62 
19,139,5,'437054',1894,61 
20,140,5,'437054',1894,60 
21,141,5,'437054',1894,53 
22,142,5,'437054',1894,54 
23,143,5,'437054',1894,55 
24,144,5,'437054',1894,62 
25,145,5,'437054',1894,57 
26,146,5,'437054',1894,54 
27,147,5,'437054',1894,58 
28,148,5,'437054',1894,58 
29,149,5,'437054',1894,57 
30,150,5,'437054',1894,51 
31,151,5,'437054',1894,51 
1,152,6,'437054',1894,55 
2,153,6,'437054',1894,55 
3,154,6,'437054',1894,56 
4,155,6,'437054',1894,62 
5,156,6,'437054',1894,51 
6,157,6,'437054',1894,53 
7,158,6,'437054',1894,47 
8,159,6,'437054',1894,50 
9,160,6,'437054',1894,58 
10,161,6,'437054',1894,64 
11,162,6,'437054',1894,71 
12,163,6,'437054',1894,67 
13,164,6,'437054',1894,66 
14,165,6,'437054',1894,62 
15,166,6,'437054',1894,67 
16,167,6,'437054',1894,74 
17,168,6,'437054',1894,75 
18,169,6,'437054',1894,75 
19,170,6,'437054',1894,75 
20,171,6,'437054',1894,73 
21,172,6,'437054',1894,71 
22,173,6,'437054',1894,74 
23,174,6,'437054',1894,74 
24,175,6,'437054',1894,74 
25,176,6,'437054',1894,65 
26,177,6,'437054',1894,72 
27,178,6,'437054',1894,78 
28,179,6,'437054',1894,74 
29,180,6,'437054',1894,74 
30,181,6,'437054',1894,75 
1,182,7,'437054',1894,72 
2,183,7,'437054',1894,73 
3,184,7,'437054',1894,78 
4,185,7,'437054',1894,71 
5,186,7,'437054',1894,66 
6,187,7,'437054',1894,62 
7,188,7,'437054',1894,66 
8,189,7,'437054',1894,59 
9,190,7,'437054',1894,63 
10,191,7,'437054',1894,61 
11,192,7,'437054',1894,66 
12,193,7,'437054',1894,67 
13,194,7,'437054',1894,70 
14,195,7,'437054',1894,67 
15,196,7,'437054',1894,64 
16,197,7,'437054',1894,65 
17,198,7,'437054',1894,65 
18,199,7,'437054',1894,69 
19,200,7,'437054',1894,71 
20,201,7,'437054',1894,77 
21,202,7,'437054',1894,73 
22,203,7,'437054',1894,65 
23,204,7,'437054',1894,67 
24,205,7,'437054',1894,68 
25,206,7,'437054',1894,70 
26,207,7,'437054',1894,69 
27,208,7,'437054',1894,67 
28,209,7,'437054',1894,67 
29,210,7,'437054',1894,76 
30,211,7,'437054',1894,74 
31,212,7,'437054',1894,71 
1,213,8,'437054',1894,60 
2,214,8,'437054',1894,66 
3,215,8,'437054',1894,69 
4,216,8,'437054',1894,63 
5,217,8,'437054',1894,64 
6,218,8,'437054',1894,65 
7,219,8,'437054',1894,67 
8,220,8,'437054',1894,69 
9,221,8,'437054',1894,68 
